Country or Area;Year(s);Variant;Value
Italy;2001;Medium;1.2509
Italy;2000;Medium;1.2542
Italy;1999;Medium;1.2372
Italy;1998;Medium;1.214
Italy;1997;Medium;1.2125
Italy;1996;Medium;1.1979
Italy;1995;Medium;1.1924
Italy;1994;Medium;1.2158
Italy;1993;Medium;1.2511
Italy;1992;Medium;1.2978
Italy;1991;Medium;1.3051
Italy;1990;Medium;1.3321
Italy;1989;Medium;1.3286
Italy;1988;Medium;1.3568
Italy;1987;Medium;1.3312
Italy;1986;Medium;1.3526
Italy;1985;Medium;1.4151
Italy;1984;Medium;1.4581
Italy;1983;Medium;1.5059
Italy;1982;Medium;1.5598
Italy;1981;Medium;1.5779
Italy;1980;Medium;1.6398
Italy;1979;Medium;1.7317
Italy;1978;Medium;1.8403
Italy;1977;Medium;1.9348
Italy;1976;Medium;2.044
Italy;1975;Medium;2.1684
Italy;1974;Medium;2.2858
Italy;1973;Medium;2.3099
Italy;1972;Medium;2.3489
Italy;1971;Medium;2.3973
Italy;1970;Medium;2.3901
Italy;1969;Medium;2.4646
Italy;1968;Medium;2.4922
Italy;1967;Medium;2.5044
Italy;1966;Medium;2.5782
Italy;1965;Medium;2.6026
Italy;1964;Medium;2.6526
Italy;1963;Medium;2.5138
Italy;1962;Medium;2.4537
Italy;1961;Medium;2.4212
Italy;1960;Medium;2.3782
Italy;1959;Medium;2.3803
Italy;1958;Medium;2.307
Italy;1957;Medium;2.3292
Italy;1956;Medium;2.3235
Italy;1955;Medium;2.3188
Italy;1954;Medium;2.3261
Italy;1953;Medium;2.272
Italy;1952;Medium;2.3074
Italy;1951;Medium;2.3772
Italy;1950;Medium;2.5273